"obs","Edible/Poisonous","Cap-Shape","Cap-Surface","Cap-Color","Odor"
"38","Poisonous","Convex","Scaly","Brown","Pungent"
"39","Edible","Convex","Fibrous","Yellow","Almond"
"40","Edible","Bell","Smooth","Yellow","Anise"
"41","Edible","Bell","Scaly","Yellow","Almond"
"42","Edible","Convex","Scaly","Yellow","Anise"
"43","Edible","Convex","Fibrous","Brown","None"
"44","Poisonous","Convex","Scaly","White","Pungent"
"45","Edible","Convex","Smooth","Yellow","Almond"
"46","Edible","Convex","Scaly","White","Almond"
"47","Edible","Convex","Scaly","Yellow","Anise"
"48","Edible","Convex","Smooth","White","Anise"
"49","Edible","Convex","Scaly","Yellow","Anise"
"50","Edible","Flat","Scaly","Yellow","Anise"
"51","Edible","Convex","Scaly","Brown","Almond"
"52","Edible","Convex","Smooth","White","Anise"
"53","Edible","Bell","Smooth","White","Anise"
"54","Poisonous","Convex","Scaly","Brown","Pungent"
"55","Poisonous","Convex","Smooth","White","Pungent"
"56","Edible","Bell","Scaly","Yellow","Almond"
"57","Edible","Flat","Fibrous","Gray","None"
"58","Edible","Bell","Smooth","White","Almond"
"59","Edible","Convex","Smooth","Yellow","Anise"
"60","Edible","Convex","Scaly","Brown","Almond"
"61","Edible","Sunken","Fibrous","Gray","None"
"62","Edible","Bell","Scaly","Yellow","Almond"
"63","Edible","Bell","Smooth","Yellow","Anise"
"64","Edible","Bell","Scaly","Yellow","Anise"
"65","Edible","Bell","Scaly","White","Anise"
"66","Edible","Flat","Smooth","Brown","None"
"67","Edible","Convex","Smooth","White","Anise"
"68","Edible","Flat","Scaly","Yellow","Almond"
"69","Edible","Convex","Scaly","Yellow","Almond"
"70","Edible","Convex","Fibrous","Gray","None"
"71","Edible","Flat","Fibrous","Yellow","Anise"
"72","Edible","Bell","Scaly","White","Anise"
"73","Edible","Flat","Fibrous","Yellow","Anise"
"74","Edible","Convex","Scaly","Brown","Almond"
"75","Edible","Bell","Smooth","Yellow","Almond"
"76","Edible","Flat","Smooth","Yellow","Anise"
"77","Edible","Convex","Smooth","White","Anise"
"78","Edible","Flat","Scaly","Brown","Anise"
"79","Poisonous","Convex","Scaly","Brown","Pungent"
"80","Edible","Flat","Scaly","Brown","Almond"
"81","Edible","Convex","Smooth","Brown","None"
"82","Poisonous","Convex","Scaly","White","Pungent"
"83","Edible","Flat","Fibrous","Gray","None"
"84","Edible","Convex","Fibrous","Gray","None"
"85","Edible","Convex","Scaly","Yellow","Anise"
"86","Edible","Convex","Smooth","Brown","None"
"87","Edible","Bell","Smooth","White","Almond"
"88","Edible","Convex","Smooth","White","Anise"
"89","Edible","Flat","Scaly","Brown","Anise"
"90","Edible","Sunken","Fibrous","Brown","None"
"91","Edible","Convex","Fibrous","Brown","None"
"92","Edible","Bell","Smooth","White","Anise"
"93","Edible","Convex","Scaly","Yellow","Almond"
"94","Edible","Convex","Scaly","Yellow","Anise"
"95","Edible","Convex","Smooth","Brown","None"
"96","Edible","Convex","Smooth","White","Almond"
"97","Edible","Flat","Scaly","Brown","Anise"
"98","Edible","Convex","Smooth","Yellow","Almond"
"99","Edible","Bell","Smooth","White","Almond"
"100","Edible","Convex","Scaly","White","Almond"
"101","Edible","Convex","Fibrous","Brown","None"
"102","Edible","Bell","Smooth","Yellow","Anise"
"103","Edible","Flat","Scaly","Yellow","Anise"
"104","Edible","Convex","Scaly","Yellow","Almond"
"105","Edible","Bell","Scaly","White","Anise"
"106","Edible","Convex","Scaly","Yellow","Almond"
"107","Edible","Convex","Scaly","Yellow","Almond"
"108","Edible","Bell","Scaly","White","Anise"
"109","Edible","Bell","Scaly","White","Almond"
"110","Edible","Convex","Smooth","Yellow","Almond"
"111","Edible","Convex","Smooth","Yellow","Anise"
"112","Edible","Sunken","Fibrous","Gray","None"
"113","Edible","Convex","Fibrous","White","Almond"
"114","Edible","Convex","Smooth","Yellow","Almond"
"115","Poisonous","Convex","Scaly","White","Pungent"
"116","Edible","Convex","Scaly","Yellow","Anise"
"117","Edible","Sunken","Fibrous","Gray","None"
"118","Edible","Convex","Scaly","Yellow","Anise"
"119","Edible","Convex","Smooth","Yellow","Anise"
"120","Edible","Sunken","Fibrous","Brown","None"
"121","Poisonous","Convex","Smooth","White","Pungent"
"122","Edible","Convex","Scaly","White","Almond"
"123","Poisonous","Flat","Scaly","Brown","Pungent"
"124","Edible","Flat","Smooth","Gray","None"
"125","Edible","Convex","Smooth","Yellow","Anise"
"126","Edible","Convex","Smooth","White","None"
"127","Edible","Bell","Smooth","Yellow","Almond"
"128","Edible","Flat","Fibrous","Gray","None"
"129","Edible","Convex","Smooth","White","Anise"
"130","Edible","Bell","Smooth","White","Anise"
"131","Edible","Bell","Smooth","White","Anise"
"132","Edible","Bell","Scaly","White","Anise"
"133","Edible","Flat","Smooth","White","Anise"
"134","Edible","Convex","Scaly","Yellow","Anise"
"135","Edible","Flat","Smooth","White","Almond"
"136","Poisonous","Convex","Scaly","White","Pungent"
"137","Edible","Flat","Fibrous","White","Anise"
"138","Edible","Convex","Scaly","Yellow","Almond"
"139","Poisonous","Convex","Smooth","Brown","Pungent"
"140","Edible","Bell","Smooth","Yellow","Anise"
"141","Edible","Convex","Scaly","Brown","Almond"
"142","Edible","Bell","Scaly","Yellow","Anise"
"143","Edible","Sunken","Fibrous","Brown","None"
"144","Edible","Flat","Scaly","Brown","Almond"
"145","Edible","Convex","Scaly","Yellow","Almond"
"146","Edible","Convex","Fibrous","Gray","None"
"147","Edible","Flat","Fibrous","White","None"
"148","Edible","Convex","Scaly","Yellow","Anise"
"149","Edible","Bell","Smooth","Yellow","Anise"
"150","Edible","Bell","Scaly","White","Almond"
"151","Edible","Convex","Scaly","White","Almond"
"152","Edible","Convex","Smooth","Brown","None"
"153","Edible","Convex","Scaly","White","Anise"
"154","Edible","Sunken","Fibrous","Brown","None"
"155","Edible","Convex","Smooth","White","Almond"
"156","Edible","Convex","Scaly","Brown","Anise"
"157","Edible","Bell","Scaly","Yellow","Almond"
"158","Edible","Convex","Scaly","White","Almond"
"159","Edible","Bell","Scaly","White","Almond"
"160","Edible","Bell","Smooth","Yellow","Almond"
"161","Edible","Bell","Smooth","Yellow","Anise"
"162","Edible","Bell","Scaly","Yellow","Almond"
"163","Edible","Convex","Fibrous","Brown","None"
"164","Edible","Flat","Scaly","Brown","Anise"
"165","Edible","Convex","Scaly","White","Almond"
"166","Edible","Flat","Scaly","Yellow","Anise"
"167","Edible","Bell","Smooth","White","Almond"
"168","Edible","Bell","Smooth","White","Almond"
"169","Edible","Convex","Scaly","Brown","Anise"
"170","Edible","Bell","Smooth","White","Almond"
"171","Edible","Convex","Fibrous","Gray","None"
"172","Edible","Bell","Smooth","Yellow","Anise"
"173","Edible","Convex","Fibrous","Yellow","Anise"
"174","Edible","Bell","Scaly","Yellow","Almond"
"175","Edible","Flat","Scaly","Yellow","Anise"
"176","Edible","Bell","Scaly","White","Anise"
"177","Edible","Bell","Scaly","White","Almond"
"178","Edible","Bell","Scaly","Yellow","Almond"
"179","Edible","Convex","Scaly","Yellow","Anise"
"180","Edible","Bell","Smooth","Yellow","Anise"
"181","Poisonous","Convex","Scaly","White","Pungent"
"182","Edible","Sunken","Fibrous","Brown","None"
"183","Edible","Flat","Fibrous","Brown","None"
"184","Edible","Convex","Smooth","Yellow","Almond"
"185","Edible","Flat","Scaly","Brown","Almond"
"186","Poisonous","Convex","Scaly","White","Pungent"
"187","Edible","Bell","Smooth","White","Anise"
"188","Edible","Flat","Fibrous","Gray","None"
"189","Edible","Bell","Scaly","Yellow","Anise"
"190","Edible","Convex","Scaly","Brown","Almond"
"191","Edible","Convex","Fibrous","White","None"
"192","Edible","Convex","Smooth","White","Anise"
"193","Edible","Bell","Smooth","White","Anise"
"194","Edible","Flat","Smooth","Yellow","Almond"
"195","Edible","Convex","Smooth","Yellow","Almond"
"196","Edible","Flat","Fibrous","Gray","None"
"197","Edible","Bell","Smooth","Yellow","Almond"
"198","Edible","Convex","Smooth","White","Anise"
"199","Edible","Convex","Scaly","White","Anise"
"200","Edible","Flat","Smooth","White","Almond"
"201","Edible","Convex","Scaly","Yellow","Anise"
"202","Edible","Bell","Smooth","White","Anise"
"203","Edible","Convex","Smooth","White","Almond"
"204","Edible","Convex","Fibrous","White","None"
"205","Edible","Flat","Scaly","Brown","Anise"
"206","Poisonous","Convex","Smooth","White","Pungent"
"207","Edible","Bell","Smooth","White","Almond"
"208","Edible","Bell","Smooth","White","Almond"
"209","Edible","Bell","Scaly","White","Anise"
"210","Edible","Bell","Scaly","White","Almond"
"211","Edible","Convex","Smooth","Yellow","Almond"
"212","Edible","Bell","Smooth","White","Anise"
"213","Edible","Convex","Fibrous","Yellow","Almond"
"214","Edible","Convex","Fibrous","Gray","None"
"215","Edible","Flat","Scaly","Yellow","Almond"
"216","Edible","Bell","Smooth","White","Anise"
"217","Edible","Convex","Smooth","Yellow","Almond"
"218","Edible","Convex","Scaly","Yellow","Almond"
"219","Edible","Convex","Scaly","White","Anise"
"220","Edible","Sunken","Fibrous","Gray","None"
"221","Edible","Convex","Smooth","White","Almond"
"222","Poisonous","Convex","Smooth","White","Pungent"
"223","Edible","Convex","Scaly","Yellow","Almond"
"224","Edible","Flat","Fibrous","White","Almond"
"225","Edible","Convex","Scaly","White","Anise"
"226","Edible","Bell","Scaly","White","Anise"
"227","Edible","Convex","Smooth","White","Almond"
"228","Edible","Convex","Smooth","Yellow","Almond"
"229","Poisonous","Convex","Scaly","Brown","Pungent"
"230","Edible","Bell","Smooth","Yellow","Almond"
"231","Edible","Convex","Fibrous","Gray","None"
"232","Poisonous","Convex","Scaly","White","Pungent"
"233","Edible","Convex","Scaly","Yellow","Anise"
"234","Edible","Flat","Fibrous","Brown","None"
"235","Edible","Bell","Smooth","White","Anise"
"236","Edible","Convex","Fibrous","White","Anise"
"237","Edible","Convex","Scaly","White","Anise"
"238","Edible","Bell","Scaly","Yellow","Anise"
"239","Edible","Convex","Scaly","Yellow","Anise"
"240","Edible","Flat","Scaly","Yellow","Almond"
"241","Edible","Flat","Scaly","Yellow","Almond"
"242","Edible","Convex","Smooth","White","Anise"
"243","Edible","Convex","Smooth","White","Almond"
"244","Poisonous","Convex","Smooth","White","Pungent"
"245","Edible","Flat","Fibrous","White","Almond"
"246","Edible","Convex","Smooth","White","Anise"
"247","Edible","Convex","Smooth","White","Anise"
"248","Edible","Convex","Scaly","White","Almond"
"249","Edible","Flat","Scaly","Yellow","Anise"
"250","Edible","Convex","Smooth","Brown","None"
"251","Edible","Flat","Scaly","Yellow","Almond"
"252","Poisonous","Convex","Smooth","Brown","Pungent"
"253","Edible","Sunken","Fibrous","Brown","None"
"254","Edible","Bell","Scaly","Yellow","Anise"
"255","Edible","Bell","Smooth","White","Anise"
"256","Edible","Bell","Scaly","White","Anise"
"257","Edible","Flat","Fibrous","Brown","None"
"258","Edible","Convex","Smooth","White","Almond"
"259","Edible","Bell","Scaly","White","Anise"
"260","Edible","Bell","Scaly","White","Almond"
"261","Edible","Flat","Scaly","Brown","Anise"
"262","Poisonous","Convex","Scaly","White","Pungent"
"263","Edible","Convex","Smooth","White","Almond"
"264","Edible","Convex","Scaly","White","Almond"
"265","Edible","Flat","Fibrous","White","Anise"
"266","Edible","Flat","Fibrous","Gray","None"
"267","Edible","Flat","Smooth","Gray","None"
"268","Edible","Convex","Scaly","Yellow","Almond"
"269","Edible","Bell","Smooth","White","Almond"
"270","Poisonous","Flat","Scaly","Brown","Pungent"
"271","Edible","Convex","Smooth","White","Anise"
"272","Poisonous","Flat","Smooth","Brown","Pungent"
"273","Edible","Convex","Scaly","White","Anise"
"274","Edible","Convex","Scaly","Yellow","Almond"
"275","Edible","Flat","Scaly","Yellow","Almond"
"276","Edible","Convex","Scaly","Brown","Almond"
"277","Edible","Flat","Scaly","Brown","Almond"
"278","Edible","Convex","Scaly","White","Almond"
"279","Edible","Flat","Fibrous","Brown","None"
"280","Edible","Convex","Smooth","Yellow","Anise"
"281","Poisonous","Convex","Scaly","White","Pungent"
"282","Edible","Bell","Scaly","Yellow","Almond"
"283","Edible","Sunken","Fibrous","Brown","None"
"284","Edible","Convex","Smooth","Yellow","Anise"
"285","Edible","Bell","Scaly","White","Anise"
"286","Edible","Flat","Scaly","Brown","Almond"
"287","Edible","Bell","Scaly","Yellow","Almond"
"288","Edible","Bell","Scaly","White","Almond"
"289","Edible","Convex","Scaly","Brown","Anise"
"290","Edible","Flat","Fibrous","Gray","None"
"291","Edible","Convex","Fibrous","Gray","None"
"292","Edible","Bell","Scaly","Yellow","Anise"
"293","Edible","Convex","Smooth","Yellow","Anise"
"294","Edible","Bell","Scaly","White","Anise"
"295","Edible","Convex","Smooth","White","Almond"
"296","Edible","Bell","Smooth","Yellow","Almond"
"297","Edible","Convex","Smooth","Yellow","Almond"
"298","Edible","Convex","Fibrous","Gray","None"
"299","Edible","Flat","Smooth","Yellow","Almond"
"300","Poisonous","Convex","Scaly","White","Pungent"
"301","Edible","Convex","Fibrous","White","None"
"302","Edible","Bell","Scaly","White","Almond"
"303","Edible","Convex","Smooth","Yellow","Anise"
"304","Edible","Bell","Scaly","White","Almond"
"305","Edible","Convex","Scaly","White","Anise"
"306","Edible","Convex","Fibrous","Brown","None"
"307","Edible","Bell","Scaly","White","Anise"
"308","Edible","Convex","Smooth","Yellow","Anise"
"309","Edible","Flat","Scaly","Brown","Almond"
"310","Edible","Convex","Fibrous","White","None"
"311","Edible","Convex","Smooth","Yellow","Anise"
"312","Poisonous","Convex","Scaly","White","Pungent"
"313","Edible","Convex","Scaly","Yellow","Anise"
"314","Edible","Convex","Fibrous","White","Almond"
"315","Edible","Bell","Smooth","Yellow","Almond"
"316","Poisonous","Convex","Scaly","White","Pungent"
"317","Edible","Convex","Smooth","Yellow","Almond"
"318","Edible","Convex","Scaly","White","Almond"
"319","Edible","Convex","Fibrous","White","Anise"
"320","Edible","Flat","Smooth","White","Anise"
"321","Edible","Convex","Scaly","Yellow","Anise"
"322","Edible","Flat","Fibrous","Yellow","Almond"
"323","Edible","Convex","Smooth","White","Almond"
"324","Edible","Bell","Scaly","Yellow","Almond"
"325","Edible","Convex","Scaly","Brown","Anise"
"326","Edible","Bell","Scaly","White","Anise"
"327","Edible","Convex","Smooth","Yellow","Almond"
"328","Poisonous","Convex","Scaly","Brown","Pungent"
"329","Edible","Bell","Smooth","Yellow","Anise"
"330","Edible","Bell","Scaly","White","Almond"
"331","Poisonous","Convex","Scaly","Brown","Pungent"
"332","Edible","Bell","Smooth","White","Anise"
"333","Edible","Bell","Scaly","Yellow","Anise"
"334","Edible","Bell","Scaly","Yellow","Almond"
"335","Edible","Convex","Scaly","White","Anise"
"336","Edible","Convex","Fibrous","Brown","None"
"337","Edible","Convex","Scaly","Brown","Almond"
"338","Edible","Bell","Smooth","Yellow","Anise"
"339","Edible","Convex","Fibrous","Gray","None"
"340","Edible","Convex","Scaly","Brown","Anise"
"341","Edible","Convex","Smooth","White","Almond"
"342","Edible","Bell","Scaly","White","Almond"
"343","Edible","Convex","Smooth","Yellow","Almond"
"344","Edible","Flat","Fibrous","Yellow","Almond"
"345","Edible","Bell","Scaly","Yellow","Anise"
"346","Edible","Convex","Fibrous","Brown","None"
"347","Edible","Convex","Fibrous","Yellow","Anise"
"348","Edible","Convex","Smooth","Yellow","Almond"
"349","Edible","Flat","Smooth","Gray","None"
"350","Edible","Convex","Fibrous","Brown","None"
"351","Edible","Flat","Smooth","Gray","None"
"352","Edible","Flat","Scaly","Brown","Almond"
"353","Edible","Bell","Scaly","White","Almond"
"354","Edible","Bell","Smooth","Yellow","Almond"
"355","Edible","Convex","Scaly","Yellow","Anise"
"356","Edible","Sunken","Fibrous","Gray","None"
"357","Edible","Flat","Scaly","Brown","Almond"
"358","Poisonous","Convex","Scaly","Brown","Pungent"
"359","Edible","Convex","Scaly","Yellow","Almond"
"360","Edible","Convex","Scaly","Yellow","Almond"
"361","Edible","Convex","Fibrous","Brown","None"
"362","Edible","Convex","Fibrous","Brown","None"
"363","Edible","Flat","Smooth","Brown","None"
"364","Edible","Flat","Scaly","Brown","Almond"
"365","Edible","Convex","Smooth","Yellow","Almond"
"366","Edible","Flat","Fibrous","Brown","None"
"367","Edible","Convex","Scaly","Yellow","Almond"
"368","Edible","Convex","Fibrous","Yellow","Almond"
"369","Edible","Bell","Scaly","Yellow","Almond"
"370","Edible","Convex","Fibrous","Gray","None"
"371","Edible","Convex","Scaly","Yellow","Almond"
"372","Edible","Flat","Scaly","Brown","Anise"
"373","Edible","Convex","Smooth","Yellow","Almond"
"374","Edible","Sunken","Fibrous","Brown","None"
"375","Edible","Convex","Smooth","White","Almond"
"376","Edible","Bell","Smooth","White","Anise"
"377","Edible","Sunken","Fibrous","Brown","None"
"378","Edible","Bell","Scaly","Yellow","Anise"
"379","Edible","Convex","Scaly","Yellow","Anise"
"380","Edible","Bell","Scaly","Yellow","Almond"
"381","Poisonous","Convex","Scaly","Brown","Pungent"
"382","Edible","Convex","Smooth","White","None"
"383","Edible","Convex","Scaly","White","Almond"
"384","Edible","Bell","Smooth","White","Almond"
"385","Edible","Convex","Fibrous","Brown","None"
"386","Poisonous","Convex","Smooth","Brown","Pungent"
"387","Edible","Convex","Scaly","Brown","Anise"
"388","Edible","Convex","Smooth","Brown","None"
"389","Edible","Bell","Scaly","Yellow","Anise"
"390","Edible","Convex","Smooth","Yellow","Almond"
"391","Edible","Bell","Smooth","Yellow","Almond"
"392","Edible","Convex","Smooth","Yellow","Anise"
"393","Edible","Bell","Scaly","White","Almond"
"394","Edible","Convex","Fibrous","Gray","None"
"395","Edible","Flat","Scaly","Brown","Almond"
"396","Edible","Convex","Fibrous","Gray","None"
"397","Edible","Convex","Smooth","White","Anise"
"398","Edible","Convex","Scaly","Yellow","Anise"
"399","Edible","Convex","Fibrous","Gray","None"
"400","Poisonous","Convex","Smooth","Brown","Pungent"
"401","Edible","Bell","Scaly","White","Anise"
"402","Edible","Bell","Scaly","White","Almond"
"403","Poisonous","Convex","Scaly","Brown","Pungent"
"404","Edible","Bell","Smooth","Yellow","Anise"
"405","Edible","Convex","Smooth","White","Anise"
"406","Edible","Convex","Scaly","Yellow","Anise"
"407","Edible","Bell","Scaly","Yellow","Anise"
"408","Edible","Convex","Smooth","White","Almond"
"409","Edible","Convex","Smooth","White","Almond"
"410","Edible","Convex","Scaly","Brown","Anise"
"411","Edible","Convex","Smooth","White","Almond"
"412","Edible","Convex","Smooth","Brown","None"
"413","Edible","Convex","Scaly","Brown","Anise"
"414","Edible","Convex","Scaly","Yellow","Anise"
"415","Poisonous","Convex","Scaly","Brown","Pungent"
"416","Edible","Bell","Scaly","Yellow","Almond"
"417","Edible","Convex","Fibrous","White","Anise"
"418","Poisonous","Convex","Smooth","Brown","Pungent"
"419","Edible","Convex","Scaly","Yellow","Anise"
"420","Edible","Flat","Fibrous","Gray","None"
"421","Edible","Convex","Scaly","White","Anise"
"422","Edible","Bell","Scaly","White","Almond"
"423","Poisonous","Convex","Scaly","Brown","Pungent"
"424","Edible","Flat","Scaly","Brown","Anise"
"425","Edible","Convex","Smooth","White","Anise"
"426","Edible","Convex","Smooth","White","Almond"
"427","Edible","Flat","Scaly","Brown","Almond"
"428","Edible","Bell","Smooth","White","Almond"
"429","Edible","Convex","Smooth","White","None"
"430","Edible","Flat","Fibrous","Gray","None"
"431","Edible","Convex","Scaly","White","Almond"
"432","Edible","Convex","Scaly","Yellow","Anise"
"433","Edible","Bell","Smooth","Yellow","Anise"
"434","Edible","Bell","Smooth","Yellow","Anise"
"435","Edible","Flat","Smooth","White","Anise"
"436","Edible","Bell","Smooth","White","Almond"
"437","Edible","Convex","Fibrous","Yellow","Almond"
"438","Edible","Convex","Scaly","White","Anise"
"439","Edible","Bell","Scaly","Yellow","Anise"
"440","Edible","Convex","Scaly","Brown","Almond"
"441","Edible","Convex","Scaly","White","Anise"
"442","Edible","Convex","Scaly","White","Anise"
"443","Edible","Convex","Scaly","Yellow","Almond"
"444","Edible","Convex","Scaly","White","Anise"
"445","Edible","Convex","Smooth","Yellow","Anise"
"446","Edible","Convex","Scaly","Brown","Anise"
"447","Edible","Convex","Smooth","White","Anise"
"448","Edible","Flat","Scaly","Brown","Anise"
"449","Edible","Bell","Smooth","White","Anise"
"450","Edible","Convex","Fibrous","Brown","None"
"451","Edible","Convex","Scaly","White","Anise"
"452","Edible","Bell","Smooth","White","Anise"
"453","Edible","Bell","Smooth","Yellow","Anise"
"454","Edible","Convex","Fibrous","Yellow","Anise"
"455","Edible","Bell","Smooth","White","Anise"
"456","Edible","Convex","Smooth","Gray","None"
"457","Edible","Bell","Smooth","White","Almond"
"458","Edible","Bell","Smooth","Yellow","Anise"
"459","Edible","Flat","Scaly","Yellow","Almond"
"460","Edible","Flat","Scaly","Brown","Almond"
"461","Edible","Convex","Smooth","White","Almond"
"462","Edible","Flat","Scaly","Yellow","Anise"
"463","Edible","Bell","Smooth","White","Almond"
"464","Edible","Convex","Scaly","Yellow","Almond"
"465","Edible","Convex","Fibrous","Brown","None"
"466","Edible","Flat","Scaly","Brown","Almond"
"467","Edible","Convex","Smooth","White","Almond"
"468","Edible","Convex","Smooth","Yellow","Anise"
"469","Edible","Bell","Scaly","Yellow","Anise"
"470","Edible","Flat","Scaly","Yellow","Almond"
"471","Edible","Convex","Scaly","Yellow","Anise"
"472","Edible","Convex","Scaly","White","Almond"
"473","Edible","Flat","Fibrous","White","Almond"
"474","Edible","Sunken","Fibrous","Gray","None"
"475","Edible","Flat","Smooth","Yellow","Anise"
"476","Edible","Flat","Fibrous","Gray","None"
"477","Edible","Convex","Fibrous","Brown","None"
"478","Edible","Bell","Scaly","White","Almond"
"479","Edible","Convex","Smooth","White","Almond"
"480","Edible","Bell","Scaly","Yellow","Anise"
"481","Edible","Bell","Scaly","Yellow","Almond"
"482","Edible","Bell","Scaly","Yellow","Anise"
"483","Edible","Flat","Smooth","White","Anise"
"484","Edible","Flat","Fibrous","Gray","None"
"485","Edible","Flat","Smooth","White","Almond"
"486","Edible","Flat","Scaly","Yellow","Almond"
"487","Edible","Convex","Scaly","White","Anise"
"488","Edible","Sunken","Fibrous","Brown","None"
"489","Edible","Convex","Scaly","Brown","Anise"
"490","Edible","Convex","Scaly","Brown","Almond"
"491","Edible","Flat","Fibrous","Yellow","Almond"
"492","Poisonous","Flat","Smooth","Brown","Pungent"
"493","Poisonous","Convex","Smooth","Brown","Pungent"
"494","Edible","Flat","Scaly","Brown","Anise"
"495","Edible","Convex","Scaly","Yellow","Almond"
"496","Edible","Bell","Smooth","Yellow","Almond"
"497","Edible","Flat","Fibrous","White","None"
"498","Edible","Flat","Scaly","Brown","Almond"
"499","Edible","Convex","Scaly","White","Almond"
"500","Edible","Bell","Smooth","Yellow","Anise"
"501","Edible","Convex","Smooth","Yellow","Almond"
"502","Edible","Bell","Scaly","Yellow","Almond"
"503","Edible","Convex","Smooth","White","Anise"
"504","Edible","Bell","Smooth","Yellow","Almond"
"505","Edible","Bell","Scaly","Yellow","Almond"
"506","Poisonous","Convex","Smooth","Brown","Pungent"
"507","Edible","Convex","Smooth","Gray","None"
"508","Edible","Flat","Smooth","Brown","None"
"509","Edible","Convex","Fibrous","White","Almond"
"510","Edible","Flat","Fibrous","Gray","None"
"511","Edible","Flat","Fibrous","Brown","None"
"512","Edible","Bell","Scaly","Yellow","Almond"
"513","Edible","Convex","Fibrous","White","Almond"
"514","Edible","Sunken","Fibrous","Gray","None"
"515","Edible","Convex","Fibrous","Brown","None"
"516","Edible","Convex","Fibrous","White","None"
"517","Edible","Convex","Scaly","Brown","Anise"
"518","Edible","Bell","Smooth","Yellow","Almond"
"519","Edible","Convex","Scaly","White","Anise"
"520","Edible","Convex","Scaly","Yellow","Almond"
"521","Edible","Convex","Smooth","White","Anise"
"522","Edible","Bell","Smooth","White","Anise"
"523","Edible","Flat","Scaly","Yellow","Almond"
"524","Poisonous","Convex","Smooth","Brown","Pungent"
"525","Edible","Flat","Fibrous","Gray","None"
"526","Edible","Bell","Smooth","Yellow","Anise"
"527","Edible","Flat","Scaly","Brown","Almond"
"528","Edible","Convex","Smooth","Yellow","Almond"
"529","Edible","Convex","Fibrous","Brown","None"
"530","Edible","Flat","Scaly","Yellow","Almond"
"531","Edible","Convex","Scaly","Brown","Almond"
"532","Edible","Convex","Smooth","White","Almond"
"533","Poisonous","Convex","Scaly","White","Pungent"
"534","Edible","Flat","Scaly","Brown","Anise"
"535","Poisonous","Flat","Smooth","Brown","Pungent"
"536","Edible","Convex","Fibrous","White","None"
"537","Edible","Bell","Scaly","White","Almond"
"538","Edible","Sunken","Fibrous","Brown","None"
"539","Edible","Convex","Scaly","Yellow","Anise"
"540","Edible","Flat","Smooth","White","Almond"
"541","Edible","Convex","Smooth","Yellow","Almond"
"542","Edible","Flat","Fibrous","Gray","None"
"543","Poisonous","Convex","Scaly","White","Pungent"
"544","Edible","Convex","Scaly","Yellow","Almond"
"545","Edible","Flat","Fibrous","Brown","None"
"546","Edible","Convex","Smooth","White","Almond"
"547","Edible","Bell","Scaly","Yellow","Anise"
"548","Edible","Flat","Fibrous","Gray","None"
"549","Edible","Convex","Fibrous","Yellow","Anise"
"550","Edible","Convex","Smooth","Yellow","Almond"
"551","Edible","Flat","Fibrous","Brown","None"
"552","Edible","Convex","Fibrous","Gray","None"
"553","Edible","Convex","Scaly","Yellow","Anise"
"554","Edible","Flat","Smooth","White","Anise"
"555","Edible","Convex","Smooth","Yellow","Anise"
"556","Edible","Flat","Scaly","Yellow","Almond"
"557","Poisonous","Convex","Scaly","Brown","Pungent"
"558","Edible","Convex","Fibrous","White","Anise"
"559","Edible","Convex","Smooth","White","Anise"
"560","Edible","Convex","Scaly","Yellow","Almond"
"561","Edible","Bell","Smooth","Yellow","Almond"
